table_path,column_name,column_id,column_type,row_id,gt_val
CAN_CSV0000000000006650.csv,UOM,5,cate,40803,Customers
CAN_CSV0000000000001301.csv,Age of child (20),4,cate,264769,8 years
USA_CSV0000000000033847__14.csv,OWNERSHIP,16,num,58147,4
CAN_CSV0000000000001724__11.csv,"Advertising and promotion
Publicité et promotion",22,num,7467,99999.9
CAN_CSV0000000000002294.csv,UOM,6,cate,279289,Percent
CAN_CSV0000000000000691.csv,Age group,4,cate,116909,55 and over
CAN_CSV0000000000002294.csv,Statistics,5,cate,368521,Percentage of households
CAN_CSV0000000000002294.csv,GEO,1,cate,25197,Prince Edward Island
CAN_CSV0000000000002294.csv,"ï»¿""REF_DATE""",0,num,249712,2018
USA_CSV0000000000035902__18.csv,NUMBER CLASS K CURVES,13,num,29252,0
CAN_CSV0000000000014395.csv,UOM_ID,8,num,916,239
CAN_CSV0000000000000691.csv,Age group,4,cate,429332,Under 25 years
CAN_CSV0000000000002294.csv,SCALAR_ID,9,num,168208,0
USA_CSV0000000000033847__17.csv,OWNERSHIP,16,num,16930,1
CAN_CSV0000000000002294.csv,UOM_ID,7,num,219697,239
CAN_CSV0000000000002294.csv,Structural type of dwelling,3,cate,145485,Row house
USA_CSV0000000000033847__3.csv,URBAN_CODE,0,num,1334,0
USA_CSV0000000000033847__17.csv,PEAK_PARKING,24,num,9612,0
UK_CSV0000000000003896__3.csv,Post-Op Q Readmitted,27,num,1465,2
USA_CSV0000000000037101__16.csv,TYPE_FACILITY,14,num,7256,2
CAN_CSV0000000000000691.csv,Age group,4,cate,195797,Under 25 years
CAN_CSV0000000000005013.csv,Characteristics,6,cate,14482,"Low 95% confidence interval, number"
USA_CSV0000000000033847__14.csv,THROUGH_LANES,0,num,4522,2
CAN_CSV0000000000006650.csv,SCALAR_FACTOR,7,cate,61653,units 
USA_CSV0000000000033847__3.csv,CURVES_A,24,num,19044,0.0
SG_CSV0000000000000925__0.csv,ban_occupation_role6,20,cate,46,Yes
USA_CSV0000000000035902__15.csv,FEDERAL-AID SYSTEM,3,num,9431,1
CAN_CSV0000000000000624.csv,Age group,5,cate,33225,"Total, 15 years and over"
CAN_CSV0000000000001435.csv,CROPPED,9,cate,16490,high
CAN_CSV0000000000000691.csv,Age group,4,cate,336153,55 and over
CAN_CSV0000000000001301.csv,Gender (3),3,cate,176039,Women+
USA_CSV0000000000033847__17.csv,TURN_LANES_R,6,num,29667,0
CAN_CSV0000000000000691.csv,Type of income benefit,2,cate,96645,Work sharing benefits
CAN_CSV0000000000012837.csv,"ï»¿""REF_DATE""",0,num,1245,2021
USA_CSV0000000000033847__17.csv,UNBUILT_FACILITY,19,num,38467,0
CAN_CSV0000000000013953.csv,UOM,5,cate,9680,Percent
CAN_CSV0000000000001724__11.csv,"Bottom Quartile Operating Expenses (indirect)
Quart inférieurs Dépenses d'exploitation (frais indirects)",31,num,29986,934.3
USA_CSV0000000000033847__14.csv,OWNERSHIP,16,num,23676,1
USA_CSV0000000000035902__15.csv,RIGHT OF WAY WIDTH,2,num,19108,80
USA_CSV0000000000033847__14.csv,LANE_WIDTH,23,num,10929,11
USA_CSV0000000000035902__16.csv,FEDERAL-AID SYSTEM,3,num,42829,2
CAN_CSV0000000000000893.csv,VALUE,13,num,171258,69.8
CAN_CSV0000000000006809.csv,STATUS,13,cate,4707,..
CAN_CSV0000000000002294.csv,DECIMALS,14,num,185844,0
USA_CSV0000000000033847__17.csv,GRADES_A,21,num,19749,0.718
CAN_CSV0000000000000691.csv,Type of income benefit,2,cate,185039,Self-employment benefits
CAN_CSV0000000000000691.csv,DECIMALS,12,num,309303,0
CAN_CSV0000000000000893.csv,UOM_ID,8,num,129104,239
USA_CSV0000000000033847__14.csv,GRADES_A,21,num,30915,0.102
USA_CSV0000000000035902__15.csv,NUMBER CLASS K CURVES,13,num,16917,0
CAN_CSV0000000000002294.csv,SCALAR_ID,9,num,169106,0
CAN_CSV0000000000000691.csv,Age group,4,cate,321732,Under 25 years
CAN_CSV0000000000001301.csv,Age of child (20),4,cate,20534,13 years
CAN_CSV0000000000002294.csv,Structural type of dwelling,3,cate,72310,Apartment in a building that has fewer than five storeys
USA_CSV0000000000033847__4.csv,SHOULDER_WIDTH_L,22,num,16003,4
CAN_CSV0000000000002294.csv,DECIMALS,14,num,235948,0
CAN_CSV0000000000005336.csv,SCALAR_ID,8,num,9148,3
CAN_CSV0000000000005927.csv,North American Industry Classification System (NAICS),3,cate,3942,"Other machinery, equipment and supplies merchant wholesalers [4179]"
CAN_CSV0000000000000691.csv,DECIMALS,12,num,465365,0
USA_CSV0000000000037101__16.csv,DIR_FACTOR,18,num,6154,50
CAN_CSV0000000000000691.csv,UOM_ID,6,num,93220,249
CAN_CSV0000000000013946.csv,Economic impact,4,cate,1105,Total economic impact in closed model
USA_CSV0000000000037101__16.csv,VSF,15,num,21336,1.03
USA_CSV0000000000033847__17.csv,TYPE_FACILITY,5,num,1612,2
CAN_CSV0000000000000691.csv,Type of income benefit,2,cate,270627,Sickness benefits
CAN_CSV0000000000001724__11.csv,"Top Quartile Rent
Quart supérieur Location",26,num,10053,99999.9
USA_CSV0000000000033847__14.csv,SHOULDER_WIDTH_L,14,num,53429,0
USA_CSV0000000000033847__12.csv,AT_GRADE_SIGNS,9,num,22372,0
USA_CSV0000000000035902__15.csv,NUMBER CLASS D GRADES,33,num,5865,0
USA_CSV0000000000035902__18.csv,GENERAL CLIMATE ZONE,20,num,3796,3
CAN_CSV0000000000014052.csv,Work status,3,cate,10941,Part-time educators
CAN_CSV0000000000000691.csv,DECIMALS,12,num,68975,0
CAN_CSV0000000000001301.csv,ï»¿REF_DATE,0,num,69792,2021
USA_CSV0000000000033847__3.csv,STD_EXP_FACTOR,3,num,11950,7.903
USA_CSV0000000000033847__17.csv,IS_SAMPLE,15,num,20704,1
USA_CSV0000000000035902__16.csv,SURFACE/PAVEMENT TYPE,37,num,7784,52
USA_CSV0000000000033847__3.csv,HORZ_ALIGN,15,num,43001,2
CAN_CSV0000000000000893.csv,STATUS,14,cate,38678,F
CAN_CSV0000000000001301.csv,Age of child (20),4,cate,166936,15 years
USA_CSV0000000000033847__4.csv,VERT_ALIGN,4,num,5256,0
CAN_CSV0000000000002294.csv,Satisfaction with dwelling and neighbourhood,4,cate,321914,Neither satisfied nor dissatisfied with dwelling
USA_CSV0000000000035902__16.csv,NUMBER CLASS B GRADES,38,num,5137,0
USA_CSV0000000000033847__17.csv,TURN_LANES_R,6,num,26679,4
USA_CSV0000000000035902__18.csv,VOLUME/SERVICE FLOW RATIO,35,num,9670,0.05
USA_CSV0000000000035902__18.csv,SPEED LIMIT,8,num,16407,25
USA_CSV0000000000033847__14.csv,AT_GRADE_SIGNAL,2,num,46962,1
CAN_CSV0000000000000893.csv,STATUS,14,cate,173108,E
USA_CSV0000000000035902__15.csv,GENERAL CLIMATE ZONE,20,num,46258,1
CAN_CSV0000000000006650.csv,SCALAR_FACTOR,7,cate,35210,units 
USA_CSV0000000000035902__16.csv,NUMBER CLASS K CURVES,13,num,35009,0
USA_CSV0000000000035902__15.csv,LENGTH CLASS E CURVES,0,num,21244,0.0
CAN_CSV0000000000001301.csv,ï»¿REF_DATE,0,num,17645,2021
USA_CSV0000000000035902__18.csv,IS WIDENING FEASIBLE?,22,num,24368,5
CAN_CSV0000000000004711.csv,Categories of commercial services,5,cate,9581,Management services
CAN_CSV0000000000004711.csv,Trade partners,4,cate,23453,Israel
USA_CSV0000000000033847__12.csv,TYPE_FACILITY,5,num,57494,2
CAN_CSV0000000000002294.csv,SCALAR_ID,9,num,116191,0
CAN_CSV0000000000000691.csv,Type of income benefit,2,cate,182818,Regular benefits
USA_CSV0000000000037101__16.csv,DIR_FACTOR,18,num,62250,58
CAN_CSV0000000000001435.csv,ALLOC_ID,3,num,99638,7312.0
CAN_CSV0000000000000893.csv,DECIMALS,15,num,162960,1
CAN_CSV0000000000000691.csv,Type of income benefit,2,cate,29246,Training benefits
CAN_CSV0000000000000893.csv,Business activities,5,cate,84288,Engineering and related technical services
CAN_CSV0000000000000691.csv,Type of income benefit,2,cate,428520,Adoption benefits
USA_CSV0000000000033847__12.csv,AT_GRADE_SIGNS,9,num,8337,0
CAN_CSV0000000000001301.csv,ï»¿REF_DATE,0,num,314058,2021
USA_CSV0000000000035902__16.csv,TYPE OF IMPROVEMENT,14,num,22260,0
USA_CSV0000000000035902__15.csv,NUMBER CLASS A CURVES,6,num,35443,0
USA_CSV0000000000033847__12.csv,OWNERSHIP,16,num,49937,1
CAN_CSV0000000000002294.csv,Satisfaction with dwelling and neighbourhood,4,cate,230651,Very satisfied with neighbourhood
CAN_CSV0000000000002294.csv,Satisfaction with dwelling and neighbourhood,4,cate,297633,Dissatisfied with dwelling
CAN_CSV0000000000000691.csv,Age group,4,cate,206819,55 and over
CAN_CSV0000000000001301.csv,Age of child (20),4,cate,124743,2 years
CAN_CSV0000000000002294.csv,UOM,6,cate,365468,Number
CAN_CSV0000000000007018.csv,GEO,1,cate,1639,Canada
CAN_CSV0000000000002294.csv,DECIMALS,14,num,78751,1
USA_CSV0000000000033847__14.csv,CURVES_E,29,num,60754,0.0
USA_CSV0000000000035902__15.csv,STATE,31,num,7953,29
CAN_CSV0000000000013946.csv,UOM,7,cate,6826,Number
CAN_CSV0000000000005927.csv,GEO,1,cate,19694,Alberta
USA_CSV0000000000033847__17.csv,SURV_D,27,num,4686,1
CAN_CSV0000000000001301.csv,Age of child (20),4,cate,125155,14 years
CAN_CSV0000000000002294.csv,UOM_ID,7,num,180807,239
USA_CSV0000000000035902__15.csv,SECTION/GROUPED LENGTH,36,num,42557,5.22
CAN_CSV0000000000001435.csv,LF_TYPE,12,cate,3986,H
CAN_CSV0000000000001301.csv,Age of child (20),4,cate,278593,12 years
