table_path,column_name,column_id,column_type,row_id,gt_val
csvData12441316__0.csv,DRB%,6,num,2,7.5
csvData10074535__12.csv,SH,3,num,22,0
csvData1902536__12.csv,3B,3,num,122,0
csvData7222492__5.csv,FGA,0,num,64,48.7
csvData8288967__16.csv,Tm,1,cate,63,LAA
csvData29230622__0.csv,oppSLG,0,num,165,0.408
csvData3178438__15.csv,DRB,0,num,12,25.3
csvData18784108__2.csv,R,7,num,26,12
csvData24341501__0.csv,PPF,4,num,251,103
csvData19387543__3.csv,bb,9,num,17,1
csvData18784108__2.csv,POS,8,cate,11,SS
csvData11839331__4.csv,3PM,2,num,4,1.3
csvData14518660__14.csv,Tm,5,cate,56,STL
csvData10786096.csv,CN (cm),7,num,7,98
csvData26447856__0.csv,SF,3,num,22,2
csvData1902536__12.csv,BB,1,num,9,16
csvData15025720__5.csv,CS,4,num,2,0
csvData10671971.csv,Regiment,6,cate,2,19 ME
csvData2688573__2.csv,l,4,num,5,20
csvData24341501__0.csv,oppOPS,0,num,134,0.722
csvData20075499__7.csv,SLG,6,num,34,0.583
csvData24341501__0.csv,PPF,4,num,16,109
csvData6468042__2.csv,3PM,2,num,17,2.1
csvData16461238__3.csv,h,3,num,16,3
csvData11762781__2.csv,Date,5,cate,7,"Mar 08, 2013"
csvData14585065__2.csv,BPG,0,num,2,0.1
csvData23003743__3.csv,3B,4,num,7,0
csvData1902536__12.csv,BB,1,num,100,19
csvData18786685__0.csv,FGM,5,num,2,4.6
csvData9103974__6.csv,AGE,8,num,86,26
csvData6605406__3.csv,FTA,4,num,33,1.9
csvData6444295__7.csv,DRB,1,num,9,1.6
csvData26817631__5.csv,DRB%,4,num,4,12.7
csvData27008272__5.csv,Team,6,cate,16,LU
csvData2688573__2.csv,hr,1,num,13,1
csvData23138641__17.csv,Team,6,cate,138,NY Rangers
csvData28672318__4.csv,GDP,5,num,28,0
csvData29230622__0.csv,G,6,num,176,45
csvData28672318__4.csv,Result,0,cate,16,L 10-6 @OAK
csvData3178438__15.csv,ORB,3,num,28,10.4
csvData17658548__0.csv,rbi,5,num,36,2
csvData24341501__0.csv,YEAR,1,num,71,2012
csvData22060727__0.csv,Tm,5,cate,12,SEA
csvData10074535__0.csv,SH,3,num,45,0
csvData1786628__7.csv,eFG%,4,num,20,0.0
csvData29230622__0.csv,TEAM,3,cate,24,NYN
csvData397377__3.csv,G,1,num,20,54
csvData26447856__0.csv,H,6,num,23,67
csvData23138641__17.csv,Team,6,cate,216,Chicago
csvData29230622__0.csv,PA,5,num,164,383
csvData29230622__0.csv,G,6,num,263,31
csvData11105179.csv,IT,2,num,4,42
csvData28672318__4.csv,2B,7,num,43,0
csvData919002__3.csv,USG%,8,num,9,11.2
csvData12976003__3.csv,FTA,3,num,10,0.0
csvData29230622__0.csv,YEAR,4,num,128,2012
csvData7222492__5.csv,FGA,0,num,27,58.9
csvData24341501__0.csv,SLG,6,num,167,0.524
csvData27420957__0.csv,Acquired,3,cate,15,Free Agency
csvData3178438__15.csv,3PA,4,num,85,22.5
csvData18784108__2.csv,SO,5,num,18,12
csvData21947308__2.csv,RBI,0,num,22,3
csvData24341501__0.csv,oppOPS,0,num,198,0.733
csvData21180610__2.csv,#,0,num,46,9
csvData21180610__0.csv,FTM,2,num,27,47
csvData24131822__7.csv,AB,0,num,20,764
csvData1902536__12.csv,3B,3,num,161,0
csvData18661263__9.csv,3B,1,num,47,0
csvData24108736__5.csv,OPS,4,num,12,0.741
csvData10020331.csv,Wm Alpha,0,cate,1,XS
csvData18493125__12.csv,HR,0,num,35,0
csvData29230622__0.csv,YEAR,4,num,150,2012
csvData17658548__0.csv,hbp,4,num,12,0
csvData28672318__5.csv,AB,6,num,7,5
csvData1902536__12.csv,SH,6,num,149,3
csvData1902536__12.csv,CS,4,num,162,0
csvData9103974__6.csv,PPF,1,num,5,115
csvData22069876__2.csv,Segmental Box Girder,4,num,7,0
csvData284731__0.csv,4,3,num,6,50
csvData28681743__3.csv,#,6,num,15,50
csvData3726343__7.csv,SF,5,num,36,1
csvData11859275__3.csv,2b,5,num,15,1
csvData29230622__0.csv,PA,5,num,213,749
csvData8804961__3.csv,3B,5,num,5,0
csvData6468042__1.csv,3PM,2,num,8,1.3
csvData10168387.csv,CN (cm),7,num,4,90
csvData11859275__0.csv,Date,2,cate,7,"Apr 05, 2009"
csvData28672318__4.csv,Result,0,cate,8,L 9-12 @SFN
csvData21180610__7.csv,3PM,4,num,29,0
csvData9925714__1.csv,PPG,2,num,12,10.1
csvData17658548__0.csv,avg,8,num,31,0.284
csvData10074535__12.csv,AB,6,num,39,379
csvData23138641__17.csv,Team,6,cate,83,Detroit
csvData24108736__5.csv,2B,6,num,22,27
csvData21198812__7.csv,R,2,num,17,63
csvData10074535__12.csv,CS,4,num,9,0
csvData10074535__12.csv,CS,4,num,59,0
csvData10975009.csv,CN (cm),7,num,5,92
csvData29230622__3.csv,TEAM,3,cate,118,LAN
csvData919002__3.csv,BLK%,3,num,17,0.0
csvData29230622__0.csv,YEAR,4,num,165,2012
csvData1068737__2.csv,FGA,0,num,7,12.6
csvData26447856__0.csv,SH,1,num,8,0
csvData27526946__4.csv,3B,2,num,0,0
csvData1786628__7.csv,USG%,5,num,0,12.2
csvData11859275__3.csv,gdp,1,num,4,0
csvData10644438.csv,FR,4,num,9,50
csvData29230622__3.csv,PA,5,num,34,191
csvData15283024__1.csv,C-G#,1,num,3,170
csvData29230622__0.csv,PA,5,num,54,310
csvData1902536__12.csv,G,2,num,55,32
csvData29230622__0.csv,G,6,num,95,33
csvData21180610__7.csv,FT%,5,num,20,0.738
csvData24108736__5.csv,HR,9,num,14,5
